userid,Average Screen Time,Average Spent on App (INR),Left Review,Ratings,New Password Request,Last Visited Minutes,Status
1001,17.00,634.00,1,9,7,2990,Installed
1002,0.00,54.00,0,4,8,24008,Uninstalled
1003,37.00,207.00,0,8,5,971,Installed
1004,32.00,445.00,1,6,2,799,Installed
1005,45.00,427.00,1,5,6,3668,Installed
1006,28.00,599.00,0,9,4,2878,Installed
1007,49.00,887.00,1,9,6,4481,Installed
1008,8.00,31.00,0,2,1,1715,Installed
1009,28.00,741.00,1,8,2,801,Installed
1010,28.00,524.00,1,8,4,4621,Installed
1011,44.00,688.00,1,8,5,1293,Installed
1012,24.00,466.00,1,10,4,4214,Installed
1013,1.00,49.00,0,3,7,9008,Installed
1014,41.00,845.00,0,10,7,3107,Installed
1015,32.00,251.00,0,5,4,2595,Installed
1016,11.00,169.00,0,10,3,577,Installed
1017,38.00,776.00,1,7,4,2965,Installed
1018,34.00,341.00,0,6,1,3124,Installed
1019,21.00,250.00,0,7,5,3460,Installed
1020,18.00,967.00,1,10,6,1925,Installed
1021,15.00,774.00,1,7,1,631,Installed
1022,34.00,482.00,0,6,8,4057,Installed
1023,11.00,645.00,1,9,2,2946,Installed
1024,26.00,688.00,0,9,4,4702,Installed
1025,34.00,400.00,0,8,4,4189,Installed
1026,48.00,73.00,1,10,2,2894,Installed
1027,33.00,460.00,0,9,2,1049,Installed
1028,49.00,848.00,0,5,4,419,Installed
1029,9.00,46.00,0,0,2,3273,Installed
1030,47.00,195.00,1,9,4,4060,Installed
1031,34.00,114.00,0,9,6,1148,Installed
1032,30.00,976.00,1,6,8,4784,Installed
1033,35.00,932.00,1,9,4,2808,Installed
1034,12.00,243.00,1,5,5,2920,Installed
1035,12.00,222.00,0,7,6,4096,Installed
1036,22.00,410.00,1,5,7,767,Installed
1037,3.00,70.00,0,5,3,3650,Installed
1038,0.00,96.00,0,4,6,4107,Installed
1039,1.00,97.00,0,1,7,37959,Uninstalled
1040,40.00,207.00,1,7,5,2425,Installed
1041,41.00,519.00,0,7,2,3511,Installed
1042,21.00,621.00,1,5,7,3471,Installed
1043,12.00,461.00,0,10,2,2571,Installed
1044,4.00,93.00,0,2,8,49334,Uninstalled
1045,17.00,800.00,0,10,5,520,Installed
1046,43.00,125.00,1,8,5,1553,Installed
1047,3.00,34.00,1,5,6,39016,Uninstalled
1048,50.00,405.00,0,8,4,4478,Installed
1049,19.00,654.00,0,6,5,1197,Installed
1050,44.00,908.00,1,10,3,3489,Installed
1051,25.00,875.00,1,9,8,644,Installed
1052,37.00,519.00,0,5,6,3408,Installed
1053,15.00,260.00,1,5,1,1353,Installed
1054,42.00,911.00,1,9,1,1356,Installed
1055,42.00,214.00,0,10,3,3575,Installed
1056,15.00,771.00,1,10,1,3339,Installed
1057,45.00,726.00,0,5,1,2587,Installed
1058,25.00,110.00,0,9,4,4704,Installed
1059,34.00,196.00,0,6,4,3410,Installed
1060,37.00,157.00,1,10,7,4131,Installed
1061,32.00,912.00,0,10,5,873,Installed
1062,5.00,67.00,0,2,6,30435,Uninstalled
1063,49.00,889.00,0,10,5,4991,Installed
1064,20.00,512.00,1,7,8,3847,Installed
1065,5.00,26.00,1,3,6,40868,Uninstalled
1066,49.00,202.00,0,6,2,1759,Installed
1067,32.00,234.00,1,9,2,2126,Installed
1068,37.00,966.00,1,7,2,794,Installed
1069,0.00,48.00,1,4,10,26405,Uninstalled
1070,8.00,98.00,1,3,7,2483,Installed
1071,49.00,723.00,0,9,3,1847,Installed
1072,43.00,738.00,0,5,6,4962,Installed
1073,39.00,528.00,0,6,2,4237,Installed
1074,35.00,881.00,1,10,8,1290,Installed
1075,9.00,90.00,0,0,2,453,Installed
1076,50.00,360.00,1,7,2,479,Installed
1077,40.00,811.00,1,10,8,4574,Installed
1078,46.00,398.00,0,7,2,4302,Installed
1079,41.00,384.00,1,7,6,4513,Installed
1080,11.00,974.00,0,10,4,4076,Installed
1081,22.00,222.00,0,10,6,4913,Installed
1082,18.00,990.00,1,6,7,3660,Installed
1083,39.00,266.00,0,9,4,550,Installed
1084,32.00,919.00,1,8,7,1477,Installed
1085,44.00,976.00,0,9,5,1710,Installed
1086,12.00,436.00,0,5,3,1070,Installed
1087,1.00,94.00,1,5,5,42101,Uninstalled
1088,46.00,320.00,0,9,4,1757,Installed
1089,6.00,17.00,1,4,4,893,Installed
1090,48.00,552.00,1,5,4,2273,Installed
1091,6.00,61.00,0,4,1,3506,Installed
1092,18.00,242.00,0,7,7,517,Installed
1093,15.00,543.00,0,10,6,4258,Installed
1094,1.00,8.00,1,0,15,33465,Uninstalled
1095,23.00,448.00,0,6,6,3292,Installed
1096,24.00,252.00,1,8,1,353,Installed
1097,0.00,66.00,1,0,2,4370,Installed
1098,10.00,42.00,1,2,8,3800,Installed
1099,45.00,940.00,0,5,4,2961,Installed
1100,3.00,75.00,1,4,12,41859,Uninstalled
1101,48.00,528.00,0,7,3,2836,Installed
1102,1.00,52.00,1,5,6,6836,Installed
1103,47.00,830.00,0,5,3,4354,Installed
1104,21.00,559.00,0,10,7,670,Installed
1105,9.00,74.00,1,3,2,2449,Installed
1106,17.00,804.00,1,9,2,1806,Installed
1107,25.00,733.00,0,9,2,4806,Installed
1108,45.00,663.00,1,5,7,1481,Installed
1109,30.00,763.00,1,9,2,3872,Installed
1110,0.00,23.00,0,1,15,22915,Uninstalled
1111,11.00,67.00,0,5,4,1829,Installed
1112,15.00,115.00,0,5,1,2148,Installed
1113,14.00,853.00,0,8,2,2754,Installed
1114,17.00,379.00,0,7,8,727,Installed
1115,5.00,20.00,1,5,5,13331,Installed
1116,26.00,629.00,1,5,2,3982,Installed
1117,12.00,508.00,0,6,1,3589,Installed
1118,14.00,462.00,0,8,7,229,Installed
1119,4.00,93.00,0,0,1,4598,Installed
1120,41.00,204.00,0,5,4,3545,Installed
1121,31.00,293.00,1,7,2,2905,Installed
1122,9.00,31.00,1,3,3,1096,Installed
1123,3.00,44.00,1,0,13,28046,Uninstalled
1124,19.00,354.00,1,7,6,3008,Installed
1125,16.00,971.00,1,6,2,1011,Installed
1126,11.00,255.00,0,8,7,2592,Installed
1127,19.00,294.00,0,5,1,1515,Installed
1128,21.00,682.00,0,5,4,2356,Installed
1129,38.00,601.00,0,9,5,4027,Installed
1130,30.00,59.00,1,8,2,2147,Installed
1131,27.00,627.00,0,7,8,3234,Installed
1132,29.00,73.00,0,8,1,432,Installed
1133,7.00,5.00,1,2,8,2739,Installed
1134,33.00,500.00,0,8,4,963,Installed
1135,16.00,364.00,1,6,3,1363,Installed
1136,15.00,464.00,0,6,8,1992,Installed
1137,10.00,10.00,1,1,8,3452,Installed
1138,29.00,87.00,1,6,3,2308,Installed
1139,1.00,13.00,0,2,2,12629,Installed
1140,19.00,570.00,0,7,8,3105,Installed
1141,44.00,667.00,0,7,1,2276,Installed
1142,6.00,96.00,0,0,4,1742,Installed
1143,33.00,485.00,0,10,1,721,Installed
1144,39.00,740.00,0,9,6,3309,Installed
1145,9.00,27.00,1,4,7,823,Installed
1146,25.00,549.00,1,6,4,3312,Installed
1147,2.00,42.00,1,2,11,40603,Uninstalled
1148,40.00,219.00,0,8,5,1178,Installed
1149,43.00,550.00,1,9,1,4270,Installed
1150,16.00,861.00,1,8,1,3428,Installed
1151,1.00,95.00,1,2,10,31724,Uninstalled
1152,35.00,991.00,0,5,7,1547,Installed
1153,43.00,722.00,1,6,4,3163,Installed
1154,24.00,84.00,1,8,8,835,Installed
1155,7.00,12.00,1,3,5,4848,Installed
1156,17.00,153.00,0,6,2,4795,Installed
1157,49.00,90.00,1,9,2,2041,Installed
1158,17.00,799.00,1,5,3,3900,Installed
1159,3.00,83.00,0,0,8,25789,Uninstalled
1160,14.00,938.00,0,7,7,1261,Installed
1161,24.00,582.00,1,6,3,253,Installed
1162,41.00,96.00,1,7,7,3385,Installed
1163,44.00,431.00,1,8,1,2008,Installed
1164,14.00,402.00,1,8,6,3529,Installed
1165,22.00,629.00,0,6,1,360,Installed
1166,29.00,91.00,1,7,8,3241,Installed
1167,44.00,674.00,1,10,8,4975,Installed
1168,23.00,901.00,1,7,6,684,Installed
1169,14.00,196.00,0,7,8,2905,Installed
1170,46.00,151.00,1,5,4,2354,Installed
1171,37.00,564.00,0,7,8,4004,Installed
1172,33.00,493.00,1,6,4,2221,Installed
1173,12.00,71.00,1,10,5,3853,Installed
1174,3.00,46.00,0,2,14,24048,Uninstalled
1175,40.00,266.00,0,8,3,3559,Installed
1176,29.00,838.00,0,10,7,3737,Installed
1177,14.00,135.00,0,5,2,2687,Installed
1178,31.00,72.00,0,5,1,4566,Installed
1179,50.00,839.00,0,6,5,2351,Installed
1180,9.00,12.00,1,1,5,4818,Installed
1181,3.00,100.00,0,3,7,29465,Uninstalled
1182,4.00,37.00,1,3,5,43650,Uninstalled
1183,44.00,867.00,0,10,7,4299,Installed
1184,4.00,51.00,0,0,8,38744,Uninstalled
1185,45.00,375.00,0,5,8,873,Installed
1186,42.00,798.00,0,9,2,4624,Installed
1187,40.00,696.00,1,7,8,592,Installed
1188,35.00,894.00,0,8,3,1425,Installed
1189,17.00,522.00,0,8,6,437,Installed
1190,5.00,46.00,0,3,7,1791,Installed
1191,19.00,661.00,1,8,1,2640,Installed
1192,47.00,750.00,0,6,8,553,Installed
1193,20.00,101.00,0,9,7,1194,Installed
1194,13.00,73.00,0,9,3,1185,Installed
1195,13.00,316.00,1,5,8,1267,Installed
1196,30.00,482.00,1,9,5,617,Installed
1197,46.00,747.00,0,9,2,1751,Installed
1198,7.00,36.00,1,1,5,3735,Installed
1199,1.00,92.00,0,1,14,19379,Uninstalled
1200,48.00,634.00,1,7,5,4059,Installed
1201,29.00,990.00,1,8,6,1340,Installed
1202,18.00,212.00,0,5,1,4078,Installed
1203,8.00,33.00,0,3,1,2979,Installed
1204,37.00,987.00,0,10,6,1393,Installed
1205,28.00,892.00,0,7,3,1136,Installed
1206,25.00,489.00,1,10,5,2437,Installed
1207,2.00,69.00,1,0,7,15053,Uninstalled
1208,14.00,279.00,1,6,8,1306,Installed
1209,50.00,882.00,0,9,4,203,Installed
1210,29.00,721.00,1,7,5,4378,Installed
1211,31.00,674.00,1,7,7,3225,Installed
1212,24.00,809.00,0,10,4,2020,Installed
1213,0.00,93.00,0,4,15,38821,Uninstalled
1214,17.00,296.00,1,9,6,2263,Installed
1215,9.00,94.00,1,2,6,2608,Installed
1216,15.00,372.00,1,9,8,3642,Installed
1217,32.00,164.00,1,8,6,622,Installed
1218,14.00,146.00,1,9,5,769,Installed
1219,41.00,672.00,1,9,3,3850,Installed
1220,1.00,16.00,0,5,8,49715,Uninstalled
1221,15.00,205.00,0,5,2,3549,Installed
1222,26.00,150.00,1,9,2,3150,Installed
1223,12.00,836.00,0,5,8,1746,Installed
1224,18.00,701.00,1,6,2,2530,Installed
1225,14.00,616.00,1,9,7,2984,Installed
1226,11.00,378.00,1,10,8,3909,Installed
1227,35.00,998.00,0,6,3,2805,Installed
1228,3.00,10.00,1,4,8,23311,Uninstalled
1229,48.00,298.00,1,6,8,622,Installed
1230,24.00,344.00,1,8,4,1872,Installed
1231,32.00,496.00,1,7,7,3815,Installed
1232,43.00,399.00,1,8,4,407,Installed
1233,21.00,520.00,0,5,7,674,Installed
1234,7.00,19.00,1,1,1,4092,Installed
1235,5.00,0.00,1,1,6,1713,Installed
1236,32.00,491.00,0,6,1,4452,Installed
1237,50.00,974.00,1,9,7,3002,Installed
1238,19.00,865.00,0,9,3,2849,Installed
1239,14.00,662.00,0,5,3,1014,Installed
1240,41.00,250.00,0,5,8,2119,Installed
1241,26.00,485.00,0,9,5,3937,Installed
1242,15.00,506.00,0,10,1,3981,Installed
1243,37.00,534.00,0,7,1,413,Installed
1244,14.00,603.00,0,8,3,1559,Installed
1245,31.00,817.00,1,6,5,1072,Installed
1246,40.00,300.00,0,9,2,4896,Installed
1247,39.00,595.00,1,7,5,1254,Installed
1248,26.00,936.00,1,7,3,2373,Installed
1249,24.00,488.00,0,6,4,4692,Installed
1250,33.00,242.00,0,8,2,3265,Installed
1251,10.00,31.00,0,0,8,859,Installed
1252,24.00,392.00,0,9,4,1818,Installed
1253,33.00,333.00,0,9,3,3839,Installed
1254,18.00,328.00,1,9,1,242,Installed
1255,20.00,828.00,1,10,5,2268,Installed
1256,31.00,839.00,1,10,6,1027,Installed
1257,4.00,17.00,0,5,5,24656,Uninstalled
1258,49.00,188.00,1,10,1,1008,Installed
1259,39.00,405.00,0,8,1,1523,Installed
1260,24.00,634.00,0,7,4,3562,Installed
1261,25.00,715.00,1,7,3,2310,Installed
1262,21.00,598.00,1,7,3,4136,Installed
1263,36.00,755.00,1,9,7,1391,Installed
1264,32.00,138.00,0,7,5,2432,Installed
1265,3.00,77.00,0,0,5,18701,Uninstalled
1266,23.00,310.00,1,9,7,991,Installed
1267,25.00,477.00,0,8,6,3295,Installed
1268,4.00,91.00,1,2,15,36469,Uninstalled
1269,15.00,252.00,1,10,8,1324,Installed
1270,26.00,385.00,0,9,5,4941,Installed
1271,35.00,217.00,1,7,4,2463,Installed
1272,14.00,81.00,1,9,1,4230,Installed
1273,43.00,429.00,0,7,8,2769,Installed
1274,16.00,254.00,1,10,3,1754,Installed
1275,9.00,80.00,0,5,3,1828,Installed
1276,15.00,361.00,1,6,2,4539,Installed
1277,7.00,8.00,1,5,2,3001,Installed
1278,12.00,863.00,0,10,8,4269,Installed
1279,36.00,270.00,0,9,6,1728,Installed
1280,18.00,813.00,0,9,7,1459,Installed
1281,14.00,826.00,1,8,5,1776,Installed
1282,24.00,511.00,0,6,2,2284,Installed
1283,8.00,9.00,1,4,6,2119,Installed
1284,28.00,860.00,1,6,4,2833,Installed
1285,30.00,226.00,1,9,4,3766,Installed
1286,46.00,135.00,1,10,7,1042,Installed
1287,30.00,416.00,0,5,4,2998,Installed
1288,30.00,463.00,0,9,3,4154,Installed
1289,49.00,877.00,1,7,2,873,Installed
1290,17.00,360.00,0,10,5,2641,Installed
1291,32.00,830.00,1,9,6,3919,Installed
1292,0.00,32.00,1,4,13,21352,Uninstalled
1293,22.00,909.00,0,10,8,942,Installed
1294,42.00,63.00,1,7,7,220,Installed
1295,36.00,300.00,1,9,6,3144,Installed
1296,34.00,285.00,1,7,6,673,Installed
1297,37.00,837.00,0,6,6,4166,Installed
1298,23.00,320.00,1,7,4,4058,Installed
1299,31.00,621.00,0,5,1,479,Installed
1300,14.00,152.00,0,9,7,1769,Installed
1301,26.00,486.00,1,7,6,1256,Installed
1302,19.00,401.00,1,6,6,3299,Installed
1303,5.00,79.00,0,2,6,5099,Installed
1304,0.00,95.00,0,0,6,17126,Uninstalled
1305,33.00,778.00,1,9,4,1526,Installed
1306,11.00,923.00,1,10,5,4629,Installed
1307,4.00,38.00,0,0,2,5843,Installed
1308,31.00,95.00,0,10,7,272,Installed
1309,33.00,990.00,0,10,4,828,Installed
1310,49.00,679.00,0,10,7,1312,Installed
1311,33.00,617.00,1,7,3,3933,Installed
1312,22.00,994.00,0,10,5,4074,Installed
1313,25.00,519.00,0,7,5,4906,Installed
1314,9.00,25.00,0,2,7,2294,Installed
1315,17.00,396.00,0,9,4,4180,Installed
1316,47.00,226.00,1,10,1,3556,Installed
1317,18.00,993.00,0,8,2,3438,Installed
1318,44.00,107.00,0,6,2,1845,Installed
1319,40.00,869.00,1,6,1,4340,Installed
1320,23.00,60.00,1,6,1,614,Installed
1321,25.00,749.00,1,10,1,3127,Installed
1322,25.00,863.00,0,5,6,3663,Installed
1323,24.00,158.00,1,8,5,4578,Installed
1324,39.00,424.00,1,5,6,931,Installed
1325,25.00,984.00,1,7,6,1008,Installed
1326,6.00,20.00,1,1,7,2780,Installed
1327,42.00,988.00,0,8,4,1976,Installed
1328,2.00,39.00,0,1,15,45339,Uninstalled
1329,46.00,560.00,1,9,4,4557,Installed
1330,36.00,721.00,1,6,3,4769,Installed
1331,21.00,261.00,0,7,8,450,Installed
1332,0.00,100.00,1,5,3,13777,Installed
1333,29.00,492.00,1,8,8,4684,Installed
1334,11.00,222.00,0,8,5,4297,Installed
1335,17.00,788.00,0,7,1,4344,Installed
1336,1.00,31.00,0,4,11,47187,Uninstalled
1337,37.00,175.00,1,8,2,2190,Installed
1338,35.00,198.00,1,5,4,2290,Installed
1339,15.00,481.00,1,9,5,542,Installed
1340,18.00,863.00,1,5,6,1764,Installed
1341,49.00,580.00,0,8,8,4885,Installed
1342,24.00,216.00,0,10,1,3049,Installed
1343,12.00,69.00,0,8,5,2628,Installed
1344,15.00,807.00,0,5,1,4024,Installed
1345,26.00,739.00,0,8,5,4155,Installed
1346,27.00,704.00,1,9,1,3756,Installed
1347,24.00,357.00,1,7,2,640,Installed
1348,39.00,614.00,1,10,1,3173,Installed
1349,6.00,87.00,1,4,4,3890,Installed
1350,33.00,559.00,0,9,4,4818,Installed
1351,43.00,660.00,0,8,1,252,Installed
1352,49.00,623.00,0,8,1,4047,Installed
1353,5.00,93.00,0,4,10,49696,Uninstalled
1354,44.00,350.00,1,10,5,1642,Installed
1355,0.00,42.00,0,5,14,22099,Uninstalled
1356,35.00,936.00,0,7,6,4705,Installed
1357,5.00,47.00,0,0,8,16523,Uninstalled
1358,1.00,28.00,1,2,11,19278,Uninstalled
1359,34.00,841.00,0,5,3,1115,Installed
1360,32.00,89.00,0,7,3,2953,Installed
1361,43.00,833.00,0,9,1,4551,Installed
1362,32.00,763.00,0,9,1,2295,Installed
1363,16.00,68.00,0,5,7,426,Installed
1364,45.00,330.00,0,8,5,1022,Installed
1365,25.00,159.00,0,7,7,4502,Installed
1366,24.00,340.00,1,10,6,2555,Installed
1367,46.00,832.00,0,6,7,577,Installed
1368,28.00,992.00,0,5,6,2163,Installed
1369,30.00,849.00,1,8,5,714,Installed
1370,26.00,742.00,0,6,7,4988,Installed
1371,8.00,73.00,1,1,4,3300,Installed
1372,33.00,190.00,1,5,2,789,Installed
1373,35.00,928.00,1,8,3,862,Installed
1374,12.00,718.00,0,9,1,1744,Installed
1375,49.00,238.00,1,8,6,4270,Installed
1376,34.00,736.00,0,10,6,4581,Installed
1377,20.00,992.00,1,7,5,2166,Installed
1378,18.00,165.00,0,10,1,430,Installed
1379,4.00,25.00,0,3,8,39153,Uninstalled
1380,7.00,75.00,0,5,7,697,Installed
1381,14.00,326.00,0,10,4,1944,Installed
1382,41.00,173.00,0,10,4,4647,Installed
1383,11.00,930.00,1,8,6,4989,Installed
1384,15.00,349.00,0,5,2,2546,Installed
1385,41.00,152.00,1,10,8,4526,Installed
1386,22.00,719.00,0,10,4,1658,Installed
1387,21.00,597.00,1,6,3,2828,Installed
1388,18.00,286.00,0,7,7,400,Installed
1389,35.00,754.00,1,8,5,1790,Installed
1390,34.00,88.00,1,9,4,2901,Installed
1391,4.00,50.00,0,0,11,27125,Uninstalled
1392,16.00,768.00,1,6,4,2942,Installed
1393,18.00,158.00,1,10,8,2768,Installed
1394,19.00,729.00,0,9,3,1414,Installed
1395,0.00,97.00,0,3,9,37826,Uninstalled
1396,3.00,37.00,0,1,1,6641,Installed
1397,30.00,900.00,1,10,3,4080,Installed
1398,13.00,188.00,1,7,1,1791,Installed
1399,2.00,89.00,0,4,6,6207,Installed
1400,50.00,70.00,0,5,1,3670,Installed
1401,13.00,536.00,1,7,8,4247,Installed
1402,50.00,609.00,0,8,7,935,Installed
1403,23.00,796.00,0,6,4,2983,Installed
1404,34.00,95.00,1,9,6,969,Installed
1405,36.00,871.00,1,8,2,3179,Installed
1406,4.00,58.00,1,0,11,32302,Uninstalled
1407,7.00,10.00,1,2,6,1857,Installed
1408,41.00,733.00,1,10,8,4911,Installed
1409,34.00,608.00,1,9,7,2865,Installed
1410,20.00,506.00,1,6,8,1883,Installed
1411,31.00,977.00,0,6,3,1135,Installed
1412,35.00,761.00,0,7,3,1949,Installed
1413,41.00,708.00,1,8,2,680,Installed
1414,37.00,534.00,0,7,5,395,Installed
1415,8.00,71.00,0,1,5,4244,Installed
1416,2.00,9.00,1,3,2,5048,Installed
1417,8.00,4.00,1,2,1,967,Installed
1418,12.00,502.00,1,7,6,3111,Installed
1419,22.00,614.00,1,5,5,4067,Installed
1420,20.00,473.00,1,5,5,4950,Installed
1421,10.00,67.00,1,4,6,586,Installed
1422,40.00,254.00,0,9,3,1586,Installed
1423,18.00,558.00,1,6,8,2716,Installed
1424,31.00,513.00,0,5,3,2310,Installed
1425,39.00,80.00,0,7,5,3519,Installed
1426,44.00,621.00,1,8,2,2005,Installed
1427,34.00,902.00,1,5,1,572,Installed
1428,50.00,411.00,0,6,6,857,Installed
1429,9.00,63.00,0,0,2,4324,Installed
1430,13.00,889.00,1,10,3,3279,Installed
1431,40.00,347.00,0,9,1,2006,Installed
1432,44.00,546.00,1,10,6,222,Installed
1433,17.00,810.00,0,8,8,1541,Installed
1434,29.00,68.00,0,8,5,1316,Installed
1435,33.00,783.00,0,6,4,4893,Installed
1436,7.00,9.00,1,4,7,4060,Installed
1437,36.00,603.00,1,6,8,3949,Installed
1438,17.00,633.00,1,7,1,3840,Installed
1439,5.00,15.00,1,2,6,37453,Uninstalled
1440,10.00,65.00,0,2,6,2102,Installed
1441,30.00,481.00,1,5,6,1376,Installed
1442,29.00,93.00,0,5,1,4389,Installed
1443,29.00,568.00,1,8,4,2123,Installed
1444,33.00,423.00,0,7,1,3737,Installed
1445,47.00,319.00,0,5,5,1902,Installed
1446,35.00,434.00,1,10,1,3761,Installed
1447,45.00,75.00,0,5,7,3489,Installed
1448,19.00,786.00,0,5,6,4602,Installed
1449,23.00,551.00,1,9,5,3935,Installed
1450,7.00,85.00,1,0,6,2120,Installed
1451,33.00,486.00,0,6,4,1049,Installed
1452,49.00,267.00,0,7,1,4198,Installed
1453,41.00,566.00,1,5,6,507,Installed
1454,16.00,150.00,1,10,8,906,Installed
1455,30.00,623.00,1,7,2,650,Installed
1456,24.00,219.00,0,6,5,1842,Installed
1457,17.00,379.00,0,8,6,2521,Installed
1458,6.00,97.00,0,1,8,4164,Installed
1459,18.00,375.00,1,6,4,1668,Installed
1460,23.00,647.00,1,9,6,679,Installed
1461,8.00,44.00,0,3,1,1552,Installed
1462,41.00,635.00,0,6,6,301,Installed
1463,25.00,241.00,1,10,4,2932,Installed
1464,20.00,858.00,0,5,7,3131,Installed
1465,22.00,435.00,1,6,4,1778,Installed
1466,39.00,102.00,1,8,1,4891,Installed
1467,21.00,305.00,1,7,5,2681,Installed
1468,42.00,212.00,0,8,2,2220,Installed
1469,4.00,75.00,1,4,7,47412,Uninstalled
1470,35.00,805.00,0,6,1,1597,Installed
1471,42.00,693.00,1,6,5,1416,Installed
1472,22.00,981.00,0,5,1,3999,Installed
1473,25.00,275.00,1,8,6,3942,Installed
1474,20.00,460.00,1,7,3,1434,Installed
1475,11.00,273.00,0,9,4,2603,Installed
1476,0.00,66.00,0,0,10,31950,Uninstalled
1477,5.00,17.00,0,5,15,45979,Uninstalled
1478,50.00,886.00,1,9,6,524,Installed
1479,17.00,478.00,1,8,1,721,Installed
1480,29.00,368.00,1,9,3,4812,Installed
1481,11.00,510.00,0,5,6,952,Installed
1482,39.00,368.00,0,9,7,4734,Installed
1483,9.00,14.00,1,2,5,2188,Installed
1484,25.00,970.00,1,10,4,3392,Installed
1485,45.00,284.00,1,10,1,949,Installed
1486,8.00,39.00,1,4,3,3457,Installed
1487,13.00,125.00,1,10,6,1919,Installed
1488,13.00,619.00,1,10,7,4346,Installed
1489,31.00,207.00,1,7,7,2620,Installed
1490,42.00,83.00,1,7,4,4897,Installed
1491,36.00,633.00,0,5,1,2601,Installed
1492,0.00,21.00,1,5,15,38457,Uninstalled
1493,15.00,64.00,1,9,7,956,Installed
1494,16.00,767.00,1,8,5,2602,Installed
1495,28.00,75.00,0,9,7,500,Installed
1496,46.00,53.00,1,7,1,2569,Installed
1497,34.00,366.00,1,5,1,2581,Installed
